line	action	before	after
1302	rewritten	Alexandra Daddario, interview by Chris Wallace, Interview Magazine (5 June 2014)	Interview by Chris Wallace, Interview Magazine (5 June 2014)
1310	rewritten	Alexandra Daddario, interview by Chris Wallace, Interview Magazine (5 June 2014)	Interview by Chris Wallace, Interview Magazine (5 June 2014)
1311	rewritten	Alexandra Daddario, interview by Chris Wallace, Interview Magazine (5 June 2014)	Interview by Chris Wallace, Interview Magazine (5 June 2014)
1312	rewritten	Alexandra Daddario, interview by Chris Wallace, Interview Magazine (5 June 2014)	Interview by Chris Wallace, Interview Magazine (5 June 2014)
6663	dropped	Attributed to de Gaulle by Romain Gary in Life magazine (9 May 1969)	
11541	rewritten	Hemingway's famous phrase in a letter to F. Scott Fitzgerald (19260420), published in Ernest Hemingway: Selected Letters 1917–1961 (1981) edited by Carlos Baker. In the letter, he wrote that he was "not referring to guts but to something else." The phrase was later used by Dorothy Parker in a profile of Hemingway, "The Artist's Reward," in the New Yorker (19291130)	Letter to F. Scott Fitzgerald (20 April 1926), published in Ernest Hemingway: Selected Letters 1917–1961 (1981), ed. Carlos Baker
11555	rewritten	New York Journal-American (19610711)	New York Journal-American (11 July 1961)
11565	rewritten	Hemingway's famous phrase in a letter to F. Scott Fitzgerald (19260420), published in Ernest Hemingway: Selected Letters 1917–1961 (1981) edited by Carlos Baker. In the letter, he wrote that he was "not referring to guts but to something else." The phrase was later used by Dorothy Parker in a profile of Hemingway, "The Artist's Reward," in the New Yorker (19291130)	Letter to F. Scott Fitzgerald (20 April 1926), published in Ernest Hemingway: Selected Letters 1917–1961 (1981), ed. Carlos Baker
15362	rewritten	Interview in Chicago Tribune (19160525)	Interview in Chicago Tribune (25 May 1916)
24454	dropped	Attributed saying, recorded in Souvenirs de J. Laffitte (1844)	
27439	rewritten	PBS “Interview:  On freedom and free markets” Commanding Heights series (20001001)	PBS, ‘Interview: On freedom and free markets’, Commanding Heights series (1 October 2000)
27445	rewritten	Observer  (19740922), also in Oxford Dictionary of Modern Quotes, Third Edition, Elizabeth Knowles, edit., Oxford University Press (2007) p124	Observer (22 September 1974), also in Oxford Dictionary of Modern Quotes, 3rd ed., Elizabeth Knowles (ed.), Oxford University Press (2007), p. 124
27448	rewritten	PBS “Interview:  On freedom and free markets” Commanding Heights series (20001001)	PBS, ‘Interview: On freedom and free markets’, Commanding Heights series (1 October 2000)
35028	rewritten	1990s. As quoted in Fortune (19981109); also quoted in "TIME digital 50" in TIME digital archive (1999)	As quoted in Fortune (9 November 1998); also quoted in ‘TIME digital 50’, TIME digital archive (1999)
38064	rewritten	As quoted in "Rules That Warren Buffett Lives By" by  Stephanie Loiacono at Yahoo Finance (20100223)	As quoted in ‘Rules That Warren Buffett Lives By’ by Stephanie Loiacono, Yahoo Finance (23 February 2010)
