author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
Abraham Lincoln	3253	The Papers and Writings of Abraham Lincoln, Complete	The-Papers-And-Writings-Of-Abraham-Lincoln-Complete_3253	fetched		3220578	be139c682155e748045c8bbc8296e891c9492807ab6adf97ac0c37f0cbd271c4	3253.txt
Abraham Lincoln	7547	Quotes and Images from the Writings of Abraham Lincoln	Quotes-and-Images-from-the-Writings-of-Abraham-Lincoln_7547	fetched		27388	ccbb63989b04c36802f25ea12e35cbbb09f7694311c0ac135223209b87ef6be2	7547.txt
Abraham Lincoln	8110	Lincoln Letters	Lincoln-Letters_8110	fetched		25937	62fae85f994c21b1c1b1af5c9241d945386bcbaf5d7c100565a1a86e78c1cd9b	8110.txt
Ambrose Bierce	374	Fantastic Fables	Fantastic-Fables_374	fetched		188939	7f2acb7fc6618b017961852f193590803d8f8776fe97a9e0240b148b820b3151	374.txt
Ambrose Bierce	972	The Devil's Dictionary	The-Devil-s-Dictionary_972	fetched		394044	f61a70f08650fd2b87101cb276b4d6cf12c4714d4bbd0a8a45a27501ffc8fea3	972.txt
Aristotle	1974	Poetics	The-Poetics-of-Aristotle_1974	fetched		108334	5c0ef9d0fa0479a2bbc11052f1e0a2d036698473c7b71b7a9633fda7c30f8c97	1974.txt
Aristotle	8438	Nicomachean Ethics	The-Ethics-of-Aristotle_8438	fetched		661767	60aeb2db9ec1e550a81bc828027a944fbbee0053ffa687819de964a4b6b773b3	8438-8.txt
Benjamin Disraeli	3760	Sybil, or the Two Nations	Sybil-or-the-Two-Nations_3760	fetched		953264	3425b75155f8e41f2594b4c1405086b764c8c4ace6d5a750ddeb62e6555d519b	3760-0.txt
Benjamin Disraeli	7926	Endymion	Endymion_7926	fetched		1031190	79412edc0a9c71f83fe08e99160bbda79d6be8552e7a6f66f0ddcf6c65a534a2	7926-0.txt
Benjamin Franklin	148	The Autobiography of Benjamin Franklin	The-Autobiography-of-Benjamin-Franklin_148	fetched		405530	4569f58208f99440992a811d7c2b1c4f7b4dc166196ad01360f8d0e37fbf7d1f	148-8.txt
Blaise Pascal	46921	Pensées (The Thoughts of Blaise Pascal)	The-Thoughts-of-Blaise-Pascal_46921	fetched		699218	82694d790e9db00b368f8feb90fec2c90a039baa94cee2660f7dfab6bc9c8cf2	46921-0.txt
Charles Dickens	98	A Tale of Two Cities	A-Tale-of-Two-Cities_98	fetched		804335	2fcfa071498b30724bd1bd714ba89e38477d632b86d74e87559f6259d3917e36	98-0.txt
Charles Dickens	580	The Pickwick Papers	The-Pickwick-Papers_580	fetched		1855144	d4e007ec55fe5918bf5d4ebb5f2ce5ee08c9193c54f424b5dd7ef188314b2dfe	580-0.txt
Charles Dickens	766	David Copperfield	David-Copperfield_766	fetched		2033142	405d8997c6c5047c6b3ceb5ad1388bd2d30aa78598952744e23a23cea7100e6b	766-0.txt
Charles Dickens	1400	Great Expectations	Great-Expectations_1400	fetched		1049619	b58ce42c630e06314f2442d5937fa8a8556b6e3c5c16f4713c7332a4bb50b420	1400-0.txt
Confucius	3330	The Analects of Confucius	The-Analects-of-Confucius-from-the-Chinese-Classics_3330	fetched		186354	717cd5d679d45ee8f297dc55d9f81551679dd6a3786d74104431afc0347efcaa	3330.txt
Euripides	35171	The Trojan Women	The-Trojan-Women-of-Euripides_35171	fetched		137907	03c96c6b0ba60819e04feb9d7821941b77e8b5ca502742a0d9805dbceafbd9ba	35171.txt
Euripides	35173	The Bacchae	The-Bacchae-of-Euripides_35173	fetched		133277	ce75a3ee7333cbaaa861d2504b83938b3f0a76ef8ef5eae7a9930686cda5389c	35173-8.txt
Euripides	35451	Medea	Medea-of-Euripides_35451	fetched		146158	cad891a43f52ef14a4263286717ad711aa6d11120d6fecdae41ee9cc7ba32e23	35451-8.txt
Francis Bacon	575	Essays, or Counsels Civil and Moral	The-Essays-or-Counsels-Civil-and-Moral_575	fetched		324252	6d24b0b28b793b57e09e95a3e01ca0170d87bd33d0b5725c8590cee920ecc6ab	575.txt
Francis Bacon	5500	The Advancement of Learning	The-Advancement-of-Learning_5500	fetched		516939	4601a500267d7bd7351cf19bcbc2c0606467dd864eee569bddc64692b43b9385	5500-0.txt
