author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
Agnes Repplier	16722	Americans and Others	Americans-and-Others_16722	fetched		292403	04225280064ecf0ba767cfaa8c0ec5f30f6680080308febaade740038b297d00	16722.txt
Agnes Repplier	55703	In Our Convent Days	In-Our-Convent-Days_55703	fetched		239136	249478faf7a7148d68dc1a7aae12199b8c451d740794540f10426b850fce1f91	55703-8.txt
Agnes Repplier	58942	In the Dozy Hours, and Other Papers	In-the-Dozy-Hours-and-Other-Papers_58942	fetched		283251	e7ef7596b62b7a76d550496234fa6f4f4d2652ec21bc4384c425f3af246030d2	58942-0.txt
Agnes Repplier	59018	Points of View	Points-of-View_59018	fetched		295563	e1e61bfe1271afdb1456620bf4aa413f79d1b22dc430873ce34bbee39b2b090b	59018-0.txt
Agnes Repplier	59430	Essays in Idleness	Essays-in-Idleness_59430	fetched		282661	4c1b9f816256176131575715b67decb488fff019e75f27d6ab6a627dbf7f492e	59430-0.txt
Agnes Repplier	68195	A happy half-century, and other essays	A-happy-half-century-and-other-essays_68195	fetched		299879	21c6cde394d9b24614f23525ffe7c9e6bad1116a9ade067780d070ac53ab68b7	68195-0.txt
Arnold Toynbee	10145	Turkey: a Past and a Future	Turkey-a-Past-and-a-Future_10145	unavailable				
Arnold Toynbee	11716	The Balkans: A History of Bulgaria—Serbia—Greece—Rumania—Turkey	The-Balkans-A-History-of-BulgariaSerbiaGreeceRumaniaTurkey_11716	unavailable				
Arnold Toynbee	50716	The German Terror in Belgium: An Historical Record	The-German-Terror-in-Belgium-An-Historical-Record_50716	fetched		238449	e223a612f99a1d8f7dcd354bf498907194bcdfab8697c2867368f1c2f74954d6	50716-0.txt
Arnold Toynbee	65248	"The Murderous Tyranny of the Turks"	The-Murderous-Tyranny-of-the-Turks_65248	fetched		68157	c25d0902b8969c65500ab7653fc5a4770f7ee9d2141f1f401444c50eea589662	65248-0.txt
Ashley Montagu	58939	The Dolphin in History	The-Dolphin-in-History_58939	fetched		130502	29a1b851f77f3d459a6766af22767a032d74343d661efcfce2eb8a642fa0ca0b	58939-0.txt
Bert Leston Taylor	30038	A line-o'-verse or two	A-line-o-verse-or-two_30038	unavailable				
Bert Leston Taylor	31138	The So-called Human Race	The-So-called-Human-Race_31138	fetched		407029	cc46d178f075d5cd8a1fff40747322e2fb7dad08339b6bdfce6e70369530592f	31138-8.txt
Bert Leston Taylor	65345	Under Three Flags: A Story of Mystery	Under-Three-Flags-A-Story-of-Mystery_65345	fetched		693839	3830b30f4c57ec37e6d56d62571f71d77bff6526be83d151b88b5baf9102f809	65345-0.txt
Bettina von Hutten	16909	The Halo	The-Halo_16909	fetched		448398	a71b0d36a70a351aca797e0064df393131611f41abbbb48006de7d7e0df7d562	16909-8.txt
Brooks Adams	6706	The Emancipation of Massachusetts	The-Emancipation-of-Massachusetts_6706	fetched		822151	66e511e807ba480d0e5403da90fc4297d8107eca7097e3b7e96540f39d55e46c	6706-0.txt
Brooks Adams	10613	The Theory of Social Revolutions	The-Theory-of-Social-Revolutions_10613	fetched		292335	c3c1442eec357be7d1fafed0cbb69edc1ac3021fb07cf307beeb9c1d5715a16c	10613-8.txt
Brooks Adams	26302	The Theory of Social Revolutions	The-Theory-of-Social-Revolutions_26302	unavailable				
Brooks Adams	44908	The Law of Civilization and Decay: An Essay on History	The-Law-of-Civilization-and-Decay-An-Essay-on-History_44908	unavailable				
Charles Edwards	63969	The History and Poetry of Finger-rings	The-History-and-Poetry-of-Finger-rings_63969	fetched		419667	c300483a5716a0adab7a35baba959a7cd3ba5cdf75a076170eda808757547213	63969-0.txt
Charles Kingsley	677	The Heroes; Or, Greek Fairy Tales for My Children	The-Heroes-Or-Greek-Fairy-Tales-for-My-Children_677	unavailable				
Charles Kingsley	695	Glaucus; Or, The Wonders of the Shore	Glaucus-Or-The-Wonders-of-the-Shore_695	fetched		290340	f4de17b05470c0e9a023b9d8e29022efa74fb02351bc3d97183fec2d2877cf4b	695-0.txt
Charles Kingsley	1018	The Water-Babies	The-Water-Babies_1018	unavailable				
Charles Kingsley	1275	Alexandria and Her Schools	Alexandria-and-Her-Schools_1275	unavailable				
Charles Kingsley	1335	The Ancien Régime	The-Ancien-Regime_1335	unavailable				
Charles Kingsley	1360	Historical Lectures and Essays	Historical-Lectures-and-Essays_1360	fetched		282675	884464f92fd5d838447e5e2cd14cb0c6200a7b60fefc9a05332c73313bd344df	1360.txt
Charles Kingsley	1637	Sanitary and Social Lectures and Essays	Sanitary-and-Social-Lectures-and-Essays_1637	fetched		397975	2e49f628e03af5db5a56912412b42e4dae34051256c8303e1697f8e2c26e09f1	1637-0.txt
Charles Kingsley	1697	Madam How and Lady Why; Or, First Lessons in Earth Lore for Children	Madam-How-and-Lady-Why-Or-First-Lessons-in-Earth-Lore-for-Children_1697	unavailable				
Charles Kingsley	1860	Westward Ho! Or, The Voyages and Adventures of Sir Amyas Leigh, Knight, of Burrough, in the County of Devon, in the Reign of Her Most Glorious Majesty Queen Elizabeth	Westward-Ho-Or-The-Voyages-and-Adventures-of-Sir-Amyas-Leigh-Knight-of-Burrough-in-the-County-of-Devon-in-the-Reign-of-Her-Most-Glorious-Majesty-Queen-Elizabeth_1860	unavailable				
Charles Kingsley	3142	Plays and Puritans	Plays-and-Puritans_3142	fetched		145952	e345e7e13af481d5620ffcd9a334f98bf84f1f2856b007ac058cd0954b037bcf	3142-0.txt
Charles Kingsley	3143	Sir Walter Raleigh and His Time	Sir-Walter-Raleigh-and-His-Time_3143	fetched		219696	79940190bf81167e99a56d144d34e0d9a43522f2c8b34008352489c1a646cd23	3143-0.txt
Charles Kingsley	3144	Froude's History of England	Froude-s-History-of-England_3144	fetched		120982	d7675b50808177463e7ca37986213e32a08c58526bacde38620e85d0bd39e3d4	3144-0.txt
Charles Kingsley	3821	The Roman and the Teuton	The-Roman-and-the-Teuton_3821	unavailable				
Charles Kingsley	5687	The Water of Life, and Other Sermons	The-Water-of-Life-and-Other-Sermons_5687	fetched		342984	d12182aee998347599cb6c1f8576d223275ed3dc14d88581206221cf7247f8a6	5687-0.txt
Charles Kingsley	6308	Hypatia — or New Foes with an Old Face	Hypatia-or-New-Foes-with-an-Old-Face_6308	unavailable				
Charles Kingsley	7032	Prose Idylls, New and Old	Prose-Idylls-New-and-Old_7032	fetched		441045	e1faffc26035177f4d99e0c91d34cea7b8bea12f69855f82e6e950b22177b980	7032-0.txt
Charles Kingsley	7042	Discipline and Other Sermons	Discipline-and-Other-Sermons_7042	fetched		338950	5916388c9c7a078da3873f997c23966e5d0bc168767c01d667911045af650320	7042-0.txt
Charles Kingsley	7051	The Good News of God	The-Good-News-of-God_7051	fetched		501383	f64a2c03fcc595ad5b63c51c62aa71b2b85285e056c544cae1898f26e74076de	7051-0.txt
Charles Kingsley	7815	Hereward, the Last of the English	Hereward-the-Last-of-the-English_7815	fetched		963203	ffd84f34d090459dd61c997cade7fca4375630121750c98c3fa8868a172a928b	7815-0.txt
Charles Kingsley	7954	Twenty-Five Village Sermons	Twenty-Five-Village-Sermons_7954	fetched		401386	cdabc0a374243ae542bc72818bc87a484e953d622af9bccfb46f0bc428b9acd9	7954-0.txt
Charles Kingsley	8202	Sermons on National Subjects	Sermons-on-National-Subjects_8202	fetched		891046	07e3580429eda905ed9b4d9763831cac12cf5d421523e89ff300615131761433	8202-0.txt
Charles Kingsley	8374	Alton Locke, Tailor and Poet: An Autobiography	Alton-Locke-Tailor-and-Poet-An-Autobiography_8374	fetched		1083966	d18b1956ea947d78a1ea9c59816062db178fb351d48c87c882a8a19d1ff74a5e	8374.txt
Charles Kingsley	8733	The Hermits	The-Hermits_8733	fetched		541337	5dd662e3b70800c312ffe8b30ebff2da46a3f9170f6cd8e36ae7aac09f71a735	8733-0.txt
Charles Kingsley	10116	All Saints' Day and Other Sermons	All-Saints-Day-and-Other-Sermons_10116	fetched		666827	afa474c27d73fd789b135cee764617e001f0baf90e2ecd7ba1d4187e411db9d7	10116.txt
Charles Kingsley	10251	Town Geology	Town-Geology_10251	fetched		268940	a7b21fe34f8b65ffc517455d1eacf9ddf3097e566ea9f6faa0da1c0a94a1e905	10251.txt
Charles Kingsley	10325	The Gospel of the Pentateuch: A Set of Parish Sermons	The-Gospel-of-the-Pentateuch-A-Set-of-Parish-Sermons_10325	unavailable				
Charles Kingsley	10326	David: Five Sermons	David-Five-Sermons_10326	unavailable				
Charles Kingsley	10364	Yeast: a Problem	Yeast-a-Problem_10364	unavailable				
Charles Kingsley	10427	Scientific Essays and Lectures	Scientific-Essays-and-Lectures_10427	fetched		300286	5b9baa3beb8b3c45cdfb776a8ce262eb00d3cf249964749a5800fbd67123699e	10427.txt
Charles Kingsley	10669	At Last: A Christmas in the West Indies	At-Last-A-Christmas-in-the-West-Indies_10669	unavailable				
Charles Kingsley	10920	Two Years Ago, Volume I	Two-Years-Ago-Volume-I_10920	fetched		661507	47e0aa49ffca496aa6adc4a706824452405a8868e9f72c7ef7d6440fafe8258b	10920-8.txt
Charles Kingsley	10995	Two Years Ago, Volume II.	Two-Years-Ago-Volume-II_10995	unavailable				
Charles Kingsley	11025	Phaethon: Loose Thoughts for Loose Thinkers	Phaethon-Loose-Thoughts-for-Loose-Thinkers_11025	unavailable				
Charles Kingsley	11026	Literary and General Lectures and Essays	Literary-and-General-Lectures-and-Essays_11026	fetched		549094	f40de2b154110bf13b7544b26592855271e432c82a35696dcd5a9933e6ebd367	11026.txt
Charles Kingsley	11064	Andromeda, and Other Poems	Andromeda-and-Other-Poems_11064	fetched		181226	0c281b2abaef776ae999fbe838005d9703f399ee38a220a099956246143dc307	11064.txt
Charles Kingsley	11346	The Saint's Tragedy	The-Saint-s-Tragedy_11346	fetched		313328	a080d16a17fa31dfecf1fc25dba4c201d5416987f2c13e6b3b1c32a2b39675aa	11346.txt
Charles Kingsley	11381	Sermons for the Times	Sermons-for-the-Times_11381	fetched		485308	41d8f3c3aba39e6fc4f3dc3e8eedd124d7748fbae15a4a043b7c6f0406157407	11381.txt
Charles Kingsley	11536	Town and Country Sermons	Town-and-Country-Sermons_11536	fetched		499848	22880586fae37a2a658c56e534723d5cbcec4ae0e6261b1773aa914e09213754	11536.txt
Charles Kingsley	17437	Health and Education	Health-and-Education_17437	fetched		587114	e4edbf62833ead31f68c2499bd7d7fbf2a1853cf2cf2efa7ff87d27ea5bb0d1c	17437.txt
Charles Kingsley	18369	Westminster Sermons	Westminster-Sermons_18369	unavailable				
Charles Kingsley	20138	True Words for Brave Men: A Book for Soldiers' and Sailors' Libraries	True-Words-for-Brave-Men-A-Book-for-Soldiers-and-Sailors-Libraries_20138	unavailable				
Charles Kingsley	20312	Out of the Deep: Words for the Sorrowful	Out-of-the-Deep-Words-for-the-Sorrowful_20312	unavailable				
Charles Kingsley	20433	Women and Politics	Women-and-Politics_20433	fetched		58625	9fdb453c928c016d5e5389136f09a2e5cd8a564dfcc3226d6471af75c0ddf8e9	20433.txt
Charles Kingsley	20711	Daily Thoughts: selected from the writings of Charles Kingsley by his wife	Daily-Thoughts-selected-from-the-writings-of-Charles-Kingsley-by-his-wife_20711	unavailable				
Charles Kingsley	25564	The Water-Babies: A Fairy Tale for a Land-Baby	The-Water-Babies-A-Fairy-Tale-for-a-Land-Baby_25564	unavailable				
Charles Kingsley	30944	Lectures Delivered in America in 1874	Lectures-Delivered-in-America-in-1874_30944	fetched		226262	bab57c985951a52f76085028fa02285f58740ef04e991a9aa9cab1b6216c96e5	30944-0.txt
Charles Kingsley	36309	The Water-Babies	The-Water-Babies_36309	fetched		335044	a23aa5683cee3c2f607cd3ba89af2f4eaad25e69292d6ac2543ed84a814e1e4a	36309-8.txt
Charles William Eliot	16931	Four American Leaders	Four-American-Leaders_16931	fetched		116793	2759d94994b8adea9b02bcdc765d5c9a121694885c78900789019c1b03be849c	16931-8.txt
Cyril Falls	48716	The History of the 36th (Ulster) Division	The-History-of-the-36th-Ulster-Division_48716	fetched		894563	cfeccb6610b131da7b0915f086ac66cfd4dc899b0d04d59435cf849726214aaf	48716-0.txt
Daniel Webster	7600	Select Speeches of Daniel Webster, 1817-1845	Select-Speeches-of-Daniel-Webster-1817-1845_7600	fetched		736903	ebca97b3fb7ba0e2a779c6adb23a70af002496fce4dd61f93fc36d6438b3c6dc	7600-8.txt
