author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
?	4001	Widger's Quotations from Project Gutenberg Edition of French Immortals Series	Widger-s-Quotations-from-Project-Gutenberg-Edition-of-French-Immortals-Series_4001	excluded	derivative excerpt collection - does not name the original work			
?	8322	The Bible, Douay-Rheims, Book 22: Proverbs	The-Bible-Douay-Rheims-Book-22-Proverbs_8322	excluded	compilation that cites other authors - it is a reference, not a source			
?	8547	Pirke Avot: The Sayings of the Jewish Fathers	Pirke-Avot-The-Sayings-of-the-Jewish-Fathers_8547	excluded	compilation that cites other authors - it is a reference, not a source			
?	8548	Pirke Avot: The Sayings of the Jewish Fathers	Pirke-Avot-The-Sayings-of-the-Jewish-Fathers_8548	excluded	compilation that cites other authors - it is a reference, not a source			
?	12444	Toaster's Handbook: Jokes, Stories, and Quotations	Toaster-s-Handbook-Jokes-Stories-and-Quotations_12444	excluded	compilation that cites other authors - it is a reference, not a source			
?	12925	The World's Best Poetry, Volume 10: Poetical Quotations	The-World-s-Best-Poetry-Volume-10-Poetical-Quotations_12925	excluded	compilation that cites other authors - it is a reference, not a source			
?	15119	Handy Dictionary of Poetical Quotations	Handy-Dictionary-of-Poetical-Quotations_15119	excluded	compilation that cites other authors - it is a reference, not a source			
?	16732	Familiar Quotations	Familiar-Quotations_16732	excluded	compilation that cites other authors - it is a reference, not a source			
?	27889	Familiar Quotations	Familiar-Quotations_27889	excluded	compilation that cites other authors - it is a reference, not a source			
?	39281	Dictionary of English Proverbs and Proverbial Phrases	Dictionary-of-English-Proverbs-and-Proverbial-Phrases_39281	excluded	compilation that cites other authors - it is a reference, not a source			
?	44730	Memorabilia Mathematica; or, the Philomath's Quotation-Book	Memorabilia-Mathematica-or-the-Philomath-s-Quotation-Book_44730	excluded	compilation that cites other authors - it is a reference, not a source			
?	51090	A Polyglot of Foreign Proverbs	A-Polyglot-of-Foreign-Proverbs_51090	excluded	compilation that cites other authors - it is a reference, not a source			
?	53104	Popular Sayings from Old Iberia	Popular-Sayings-from-Old-Iberia_53104	excluded	compilation that cites other authors - it is a reference, not a source			
?	67379	A Cyclopædia of Sacred Poetical Quotations	A-Cyclopdia-of-Sacred-Poetical-Quotations_67379	excluded	compilation that cites other authors - it is a reference, not a source			
A. L. O. E.	58791	Precepts in Practice; or, Stories Illustrating the Proverbs	Precepts-in-Practice-or-Stories-Illustrating-the-Proverbs_58791	excluded	name collision: matched E. F. L. Wood, 1st Earl of Halifax; work is by A. L. O. E.			
Anonymous	8020	The Bible, King James version, Book 20: Proverbs	The-Bible-King-James-version-Book-20-Proverbs_8020	excluded	compilation that cites other authors - it is a reference, not a source			
Anonymous	8247	The World English Bible (WEB): Proverbs	The-World-English-Bible-WEB-Proverbs_8247	excluded	compilation that cites other authors - it is a reference, not a source			
Appleton, Honor C.	24610	Dumpy Proverbs	Dumpy-Proverbs_24610	unavailable				
Billings, Josh	45365	Josh Billings, Hiz Sayings	Josh-Billings-Hiz-Sayings_45365	fetched		224268	c09ee7f620aec1dcd0467a6f39b72543123cf80316769f59f8e7e2a47ffda41f	45365-8.txt
Casanova, Giacomo	3542	Widger's Quotations from the Project Gutenberg Editions of the Works of Jacques Casanova	Widger-s-Quotations-from-the-Project-Gutenberg-Editions-of-the-Works-of-Jacques-Casanova_3542	excluded	derivative excerpt collection - does not name the original work			
Chesterfield, Philip Dormer Stanhope, Earl of	3531	Widger's Quotations from the Project Gutenberg Editions of the Works of Lord Chesterfield	Widger-s-Quotations-from-the-Project-Gutenberg-Editions-of-the-Works-of-Lord-Chesterfield_3531	excluded	derivative excerpt collection - does not name the original work			
Clouston, W. A. (William Alexander)	21130	Book of Wise Sayings	Book-of-Wise-Sayings_21130	unavailable				
Confucius	24055	The Sayings of Confucius	The-Sayings-of-Confucius_24055	fetched		195959	126f486b789c8ffae8e2ad28368bd8ebe12ec96b8b066d76ffd13e43bdd50a40	24055.txt
Confucius	46389	The Sayings of Confucius	The-Sayings-of-Confucius_46389	unavailable				
Cotterell, John N.	68465	A collection of Latin maxims and phrases literally translated: Intended for the use of students for all legal examinations	A-collection-of-Latin-maxims-and-phrases-literally-translated-Intended-for-the-use-of-students-for-all-legal-examinations_68465	unavailable				
Dumas, Alexandre	3617	Widger's Quotations from the Project Gutenberg Editions of Dumas' Celebrated Crimes	Widger-s-Quotations-from-the-Project-Gutenberg-Editions-of-Dumas-Celebrated-Crimes_3617	excluded	derivative excerpt collection - does not name the original work			
Ebers, Georg	6126	Quotations from Georg Ebers	Quotations-from-Georg-Ebers_6126	excluded	derivative excerpt collection - does not name the original work			
Elmslie, W. A. L. (William Alexander Leslie)	60228	Studies in Life from Jewish Proverbs	Studies-in-Life-from-Jewish-Proverbs_60228	fetched		642338	c4426857b30a411c7dcd7316027de7587d05c0dbec56eee670c2b3896c41010b	60228-0.txt
Epictetus	871	The Golden Sayings of Epictetus, with the Hymn of Cleanthes	The-Golden-Sayings-of-Epictetus-with-the-Hymn-of-Cleanthes_871	fetched		150911	2adc03470e73c8a6ae86fb5014a5918bf0e8d5c77c3fa1b5f1266a7710966aea	871.txt
Galsworthy, John	3459	Quotations from the Project Gutenberg Editions of the Works of John Galsworthy	Quotations-from-the-Project-Gutenberg-Editions-of-the-Works-of-John-Galsworthy_3459	excluded	derivative excerpt collection - does not name the original work			
Goethe, Johann Wolfgang von	33670	Maxims and Reflections	Maxims-and-Reflections_33670	fetched		208058	3a805121337388eb3ae62ad6672408bee1371106c2b00eef92be02fcc29bd3db	33670.txt
