id	author	quote
31328	Richard M. Daley	I've given it my all. I've done my best. Now, I'm ready with my family to begin the next phase of our lives.
31329	Richard M. Daley	The spirit of the Olympic movement is great for young people because it teaches them about the training and discipline required to compete. Even if they don't make the teams, they can rededicate their lives to the art of sport, discipline, and physical fitness.
31330	Richard M. Daley	I believe the way I describe the problems in Chicago is that it's a metropolitan area. I've said that everywhere. The uneducated child is not just my problem, it's the state's problem. It's also the federal government's problem.
31331	Richard M. Daley	That area environmentally is a waste. You can't do anything. I don't care if the Sierra Club goes out there. It is fully polluted! You're not only going to work to clean up the environment, but also you will put people to work.
31332	Richard M. Daley	Why should a city be mandated to do something by the federal government or state government without the money to do it?
31333	Richard M. Daley	I don't fight the suburban areas or collar counties. I get along with them; they're former Chicagoans anyway.
31334	Richard M. Daley	And the political system is changing rapidly in this country, and we better realize that. The elephants or donkeys are not what younger people look to. They look at individual candidates' philosophy, and I think it's a different time and a different generation.
31335	Richard M. Daley	I enjoy getting things done. My philosophy is the edge, the edge of something. There's where we have to go in local government, in not only the philosophy but the creativity in people around you. They have to go to the edge.
31336	Richard M. Daley	In the coming days, I know there will be some reflecting on my time as mayor. Many of you will search to find what's behind my decision. It's simple. I have always believed that every person, especially public officials, must understand when it is time to move on. For me, that time is now.
31337	Richard M. Daley	There has been loss of steel manufacturing. Those people need jobs. Where you have to build the third airport is where people are. So you're right; if his site isn't playable, then our site is right next to it.
31338	Richard M. Daley	So you keep raising these taxes, and all of a sudden the business community says, 'Why are we here? We can go someplace else and use their phones.' That's one of the problems that directly affects the business community.
31339	Richard M. Daley	We're competing against other great cities: Madrid, Rio de Janeiro, and Tokyo. That's why it's important that we all join together on the final path to Copenhagen. Having the support of President Obama is key.
31340	Richard M. Daley	And then for the first time in history a Cook County state's attorney was reelected for a third time.
31341	Richard M. Daley	It has to be because unemployment problems in northwest Indiana are similar to those in southeast Chicago.
31342	Richard M. Daley	They really do a disservice because these men and women came out of the Depression, they came out of the war.
